Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,,,,
2005,YEAR,STATE,49,4,TOTAL,171509000.00,,,,
2005,YEAR,STATE,55,4,TOTAL,124974000.00,,,,
2004,YEAR,STATE,6,4,TOTAL,454302000.00,,,,
2004,YEAR,STATE,19,4,TOTAL,13984000.00,,,,
2004,YEAR,STATE,36,4,TOTAL,227795000.00,,,,
2004,YEAR,STATE,42,4,TOTAL,807000.00,,,,
2004,YEAR,STATE,47,4,TOTAL,38949000.00,,,,
2004,YEAR,STATE,49,4,TOTAL,165503000.00,,,,
2004,YEAR,STATE,55,4,TOTAL,98012000.00,,,,
2003,YEAR,STATE,6,4,TOTAL,479226000.00,,,,
2003,YEAR,STATE,19,4,TOTAL,13847000.00,,,,
2003,YEAR,STATE,36,4,TOTAL,261740000.00,,,,
2003,YEAR,STATE,42,4,TOTAL,687000.00,,,,
2003,YEAR,STATE,49,4,TOTAL,122209000.00,,,,
2003,YEAR,STATE,55,4,TOTAL,81460000.00,,,,
2002,YEAR,STATE,6,4,TOTAL,454483000.00,,,,
2002,YEAR,STATE,17,4,TOTAL,14392000.00,,,,
2002,YEAR,STATE,19,4,TOTAL,12875000.00,,,,
2002,YEAR,STATE,36,4,TOTAL,247221000.00,,,,
2002,YEAR,STATE,55,4,TOTAL,71461000.00,,,,
2001,YEAR,STATE,6,4,TOTAL,264304000.00,,,,
2001,YEAR,STATE,17,4,TOTAL,12773000.00,,,,
2001,YEAR,STATE,36,4,TOTAL,252631000.00,,,,
2001,YEAR,STATE,55,4,TOTAL,77451000.00,,,,
2000,YEAR,STATE,6,4,TOTAL,257211000.00,,,,
2000,YEAR,STATE,17,4,TOTAL,11653000.00,,,,
2000,YEAR,STATE,36,4,TOTAL,247232000.00,,,,
2000,YEAR,STATE,55,4,TOTAL,77348000.00,,,,
1999,YEAR,STATE,6,4,TOTAL,238110000.00,,,,
1999,YEAR,STATE,17,4,TOTAL,10513000.00,,,,
1999,YEAR,STATE,36,4,TOTAL,250084000.00,,,,
1999,YEAR,STATE,55,4,TOTAL,66591000.00,,,,
1998,YEAR,STATE,6,4,TOTAL,200363000.00,,,,
1998,YEAR,STATE,17,4,TOTAL,16593000.00,,,,
1998,YEAR,STATE,36,4,TOTAL,233126000.00,,,,
1998,YEAR,STATE,38,4,TOTAL,23000.00,,,,
1998,YEAR,STATE,55,4,TOTAL,63274000.00,,,,
1997,YEAR,STATE,6,4,TOTAL,189561000.00,,,,
1997,YEAR,STATE,17,4,TOTAL,13903000.00,,,,
1997,YEAR,STATE,36,4,TOTAL,203204000.00,,,,
1997,YEAR,STATE,38,4,TOTAL,28000.00,,,,
1997,YEAR,STATE,47,4,TOTAL,405000.00,,,,
1996,YEAR,STATE,6,4,TOTAL,196778000.00,,,,
1996,YEAR,STATE,17,4,TOTAL,15349000.00,,,,
1996,YEAR,STATE,36,4,TOTAL,208513000.00,,,,
1996,YEAR,STATE,38,4,TOTAL,28000.00,,,,
1996,YEAR,STATE,55,4,TOTAL,31776000.00,,,,
1995,YEAR,STATE,6,4,TOTAL,251651000.00,,,,
1995,YEAR,STATE,8,4,TOTAL,25229000.00,,,,
1995,YEAR,STATE,17,4,TOTAL,18575000.00,,,,
1995,YEAR,STATE,36,4,TOTAL,231805000.00,,,,
1995,YEAR,STATE,38,4,TOTAL,26000.00,,,,
1995,YEAR,STATE,47,4,TOTAL,169000.00,,,,
1995,YEAR,STATE,55,4,TOTAL,25855000.00,,,,
1994,YEAR,STATE,6,4,TOTAL,286766000.00,,,,
1994,YEAR,STATE,8,4,TOTAL,28701000.00,,,,
1994,YEAR,STATE,17,4,TOTAL,18305000.00,,,,
1994,YEAR,STATE,36,4,TOTAL,229680000.00,,,,
1994,YEAR,STATE,37,4,TOTAL,4010000.00,,,,
1994,YEAR,STATE,38,4,TOTAL,28000.00,,,,
1994,YEAR,STATE,55,4,TOTAL,21476000.00,,,,
1993,YEAR,STATE,6,4,TOTAL,284944000.00,,,,
1993,YEAR,STATE,8,4,TOTAL,27097000.00,,,,
1993,YEAR,STATE,17,4,TOTAL,15267000.00,,,,
1993,YEAR,STATE,36,4,TOTAL,207202000.00,,,,
1993,YEAR,STATE,37,4,TOTAL,4697000.00,,,,
1993,YEAR,STATE,38,4,TOTAL,25000.00,,,,
1993,YEAR,STATE,48,4,TOTAL,31071000.00,,,,
1993,YEAR,STATE,55,4,TOTAL,21246000.00,,,,
1992,YEAR,STATE,6,4,TOTAL,237695000.00,,,,
1992,YEAR,STATE,8,4,TOTAL,27572000.00,,,,
1992,YEAR,STATE,12,4,TOTAL,8349000.00,,,,
1992,YEAR,STATE,17,4,TOTAL,15899000.00,,,,
1992,YEAR,STATE,26,4,TOTAL,105402000.00,,,,
1992,YEAR,STATE,36,4,TOTAL,200787000.00,,,,
1992,YEAR,STATE,37,4,TOTAL,3969000.00,,,,
1992,YEAR,STATE,48,4,TOTAL,29239000.00,,,,
1991,YEAR,STATE,6,4,TOTAL,232764000.00,,,,
1991,YEAR,STATE,12,4,TOTAL,9500000.00,,,,
1991,YEAR,STATE,17,4,TOTAL,11520000.00,,,,
1991,YEAR,STATE,19,4,TOTAL,7753000.00,,,,
1991,YEAR,STATE,36,4,TOTAL,185518000.00,,,,
1991,YEAR,STATE,37,4,TOTAL,3176000.00,,,,
1991,YEAR,STATE,42,4,TOTAL,3859000.00,,,,
1991,YEAR,STATE,48,4,TOTAL,24829000.00,,,,
1991,YEAR,STATE,55,4,TOTAL,11821000.00,,,,
1990,YEAR,STATE,6,4,TOTAL,233748000.00,,,,
1990,YEAR,STATE,17,4,TOTAL,10900000.00,,,,
1990,YEAR,STATE,19,4,TOTAL,11058000.00,,,,
1990,YEAR,STATE,36,4,TOTAL,189012000.00,,,,
1990,YEAR,STATE,37,4,TOTAL,2545000.00,,,,
1990,YEAR,STATE,48,4,TOTAL,18988000.00,,,,
1990,YEAR,STATE,55,4,TOTAL,10868000.00,,,,
