Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2022,DEC,STATE,21,7,TOTAL,127000000.00
2022,DEC,STATE,24,7,TOTAL,60000000.00
2022,DEC,STATE,26,7,TOTAL,429500000.00
2022,DEC,STATE,27,7,TOTAL,218000000.00
2022,DEC,STATE,28,7,TOTAL,122600000.00
2022,DEC,STATE,29,7,TOTAL,353800000.00
2022,DEC,STATE,31,7,TOTAL,161100000.00
2022,DEC,STATE,36,7,TOTAL,151600000.00
2022,DEC,STATE,37,7,TOTAL,346100000.00
2022,DEC,STATE,39,7,TOTAL,907600000.00
2022,DEC,STATE,40,7,TOTAL,50800000.00
2022,DEC,STATE,41,7,TOTAL,54100000.00
2022,DEC,STATE,,7,TOTAL,770400000.00
2022,DEC,STATE,42,7,TOTAL,674700000.00
2022,DEC,STATE,45,7,TOTAL,87900000.00
2022,DEC,STATE,46,7,TOTAL,35900000.00
2022,DEC,STATE,48,7,TOTAL,567100000.00
2022,DEC,STATE,49,7,TOTAL,153700000.00
2022,DEC,STATE,51,7,TOTAL,63700000.00
2022,DEC,STATE,53,7,TOTAL,163200000.00
2022,DEC,STATE,55,7,TOTAL,147300000.00
2022,FEB,STATE,1,7,TOTAL,191300000.00
2022,FEB,STATE,5,7,TOTAL,350100000.00
2022,FEB,STATE,6,7,TOTAL,289400000.00
2022,FEB,STATE,8,7,TOTAL,113600000.00
2022,FEB,STATE,13,7,TOTAL,391100000.00
2022,FEB,STATE,17,7,TOTAL,132900000.00
2022,FEB,STATE,18,7,TOTAL,807100000.00
2022,FEB,STATE,19,7,TOTAL,1081600000.00
2022,FEB,STATE,21,7,TOTAL,119000000.00
2022,FEB,STATE,24,7,TOTAL,53400000.00
2022,FEB,STATE,26,7,TOTAL,386200000.00
2022,FEB,STATE,27,7,TOTAL,205900000.00
2022,FEB,STATE,28,7,TOTAL,109900000.00
2022,FEB,STATE,29,7,TOTAL,312800000.00
2022,FEB,STATE,31,7,TOTAL,192600000.00
2022,FEB,STATE,36,7,TOTAL,132900000.00
2022,FEB,STATE,37,7,TOTAL,308700000.00
2022,FEB,STATE,39,7,TOTAL,887500000.00
2022,FEB,STATE,40,7,TOTAL,44000000.00
2022,FEB,STATE,41,7,TOTAL,48500000.00
2022,FEB,STATE,,7,TOTAL,667000000.00
2022,FEB,STATE,42,7,TOTAL,713000000.00
2022,FEB,STATE,45,7,TOTAL,72200000.00
2022,FEB,STATE,46,7,TOTAL,46400000.00
2022,FEB,STATE,48,7,TOTAL,511200000.00
2022,FEB,STATE,49,7,TOTAL,145700000.00
2022,FEB,STATE,51,7,TOTAL,54300000.00
2022,FEB,STATE,53,7,TOTAL,152600000.00
2022,FEB,STATE,55,7,TOTAL,163400000.00
2022,JAN,STATE,1,7,TOTAL,209900000.00
2022,JAN,STATE,5,7,TOTAL,375500000.00
2022,JAN,STATE,6,7,TOTAL,317500000.00
2022,JAN,STATE,8,7,TOTAL,128300000.00
2022,JAN,STATE,13,7,TOTAL,430300000.00
2022,JAN,STATE,17,7,TOTAL,156600000.00
2022,JAN,STATE,18,7,TOTAL,878800000.00
2022,JAN,STATE,19,7,TOTAL,1241200000.00
2022,JAN,STATE,21,7,TOTAL,128200000.00
2022,JAN,STATE,24,7,TOTAL,58200000.00
2022,JAN,STATE,26,7,TOTAL,414200000.00
2022,JAN,STATE,27,7,TOTAL,224400000.00
2022,JAN,STATE,28,7,TOTAL,120300000.00
2022,JAN,STATE,29,7,TOTAL,341500000.00
2022,JAN,STATE,31,7,TOTAL,210400000.00
2022,JAN,STATE,36,7,TOTAL,146600000.00
2022,JAN,STATE,37,7,TOTAL,343900000.00
2022,JAN,STATE,39,7,TOTAL,988100000.00
2022,JAN,STATE,40,7,TOTAL,48700000.00
2022,JAN,STATE,41,7,TOTAL,54000000.00
2022,JAN,STATE,,7,TOTAL,764100000.00
2022,JAN,STATE,42,7,TOTAL,803600000.00
2022,JAN,STATE,45,7,TOTAL,86000000.00
2022,JAN,STATE,46,7,TOTAL,51900000.00
2022,JAN,STATE,48,7,TOTAL,574600000.00
2022,JAN,STATE,49,7,TOTAL,162500000.00
2022,JAN,STATE,51,7,TOTAL,61900000.00
2022,JAN,STATE,53,7,TOTAL,175700000.00
2022,JAN,STATE,55,7,TOTAL,180100000.00
2022,JUL,STATE,1,7,TOTAL,226300000.00
2022,JUL,STATE,5,7,TOTAL,336100000.00
2022,JUL,STATE,6,7,TOTAL,342200000.00
2022,JUL,STATE,8,7,TOTAL,55000000.00
2022,JUL,STATE,13,7,TOTAL,439900000.00
2022,JUL,STATE,17,7,TOTAL,158800000.00
2022,JUL,STATE,18,7,TOTAL,925800000.00
2022,JUL,STATE,19,7,TOTAL,919300000.00
2022,JUL,STATE,21,7,TOTAL,127300000.00
2022,JUL,STATE,24,7,TOTAL,47100000.00
2022,JUL,STATE,26,7,TOTAL,438200000.00
2022,JUL,STATE,27,7,TOTAL,226300000.00
2022,JUL,STATE,28,7,TOTAL,125300000.00
2022,JUL,STATE,29,7,TOTAL,350900000.00
2022,JUL,STATE,31,7,TOTAL,128200000.00
2022,JUL,STATE,36,7,TOTAL,149900000.00
2022,JUL,STATE,37,7,TOTAL,346900000.00
2022,JUL,STATE,39,7,TOTAL,1001600000.00
2022,JUL,STATE,40,7,TOTAL,51000000.00
2022,JUL,STATE,41,7,TOTAL,51700000.00
2022,JUL,STATE,,7,TOTAL,747100000.00
2022,JUL,STATE,42,7,TOTAL,659500000.00
2022,JUL,STATE,45,7,TOTAL,85300000.00
2022,JUL,STATE,46,7,TOTAL,46500000.00
2022,JUL,STATE,48,7,TOTAL,551500000.00
2022,JUL,STATE,49,7,TOTAL,134200000.00
2022,JUL,STATE,51,7,TOTAL,63900000.00
2022,JUL,STATE,53,7,TOTAL,174800000.00
2022,JUL,STATE,55,7,TOTAL,145300000.00
2022,JUN,STATE,1,7,TOTAL,224600000.00
2022,JUN,STATE,5,7,TOTAL,326100000.00
2022,JUN,STATE,6,7,TOTAL,318500000.00
2022,JUN,STATE,8,7,TOTAL,71400000.00
2022,JUN,STATE,13,7,TOTAL,428700000.00
2022,JUN,STATE,17,7,TOTAL,154800000.00
2022,JUN,STATE,18,7,TOTAL,898900000.00
2022,JUN,STATE,19,7,TOTAL,865100000.00
2022,JUN,STATE,21,7,TOTAL,121400000.00
2022,JUN,STATE,24,7,TOTAL,40400000.00
2022,JUN,STATE,26,7,TOTAL,428100000.00
2022,JUN,STATE,27,7,TOTAL,216100000.00
2022,JUN,STATE,28,7,TOTAL,120000000.00
2022,JUN,STATE,29,7,TOTAL,337100000.00
2022,JUN,STATE,31,7,TOTAL,109300000.00
2022,JUN,STATE,36,7,TOTAL,145900000.00
2022,JUN,STATE,37,7,TOTAL,332800000.00
2022,JUN,STATE,39,7,TOTAL,973200000.00
2022,JUN,STATE,40,7,TOTAL,46400000.00
2022,JUN,STATE,41,7,TOTAL,49600000.00
2022,JUN,STATE,,7,TOTAL,712500000.00
2022,JUN,STATE,42,7,TOTAL,625400000.00
2022,JUN,STATE,45,7,TOTAL,79900000.00
2022,JUN,STATE,46,7,TOTAL,47600000.00
2022,JUN,STATE,48,7,TOTAL,529300000.00
2022,JUN,STATE,49,7,TOTAL,128400000.00
2022,JUN,STATE,51,7,TOTAL,62600000.00
2022,JUN,STATE,53,7,TOTAL,168700000.00
2022,JUN,STATE,55,7,TOTAL,134100000.00
2022,MAR,STATE,1,7,TOTAL,218000000.00
2022,MAR,STATE,5,7,TOTAL,379500000.00
2022,MAR,STATE,6,7,TOTAL,319400000.00
2022,MAR,STATE,8,7,TOTAL,124600000.00
2022,MAR,STATE,13,7,TOTAL,445100000.00
2022,MAR,STATE,17,7,TOTAL,152100000.00
2022,MAR,STATE,18,7,TOTAL,908700000.00
2022,MAR,STATE,19,7,TOTAL,1043800000.00
2022,MAR,STATE,21,7,TOTAL,130600000.00
2022,MAR,STATE,24,7,TOTAL,46500000.00
2022,MAR,STATE,26,7,TOTAL,439700000.00
2022,MAR,STATE,27,7,TOTAL,224700000.00
2022,MAR,STATE,28,7,TOTAL,124300000.00
2022,MAR,STATE,29,7,TOTAL,348800000.00
2022,MAR,STATE,31,7,TOTAL,213400000.00
2022,MAR,STATE,36,7,TOTAL,152200000.00
2022,MAR,STATE,37,7,TOTAL,347200000.00
2022,MAR,STATE,39,7,TOTAL,995800000.00
2022,MAR,STATE,40,7,TOTAL,47200000.00
2022,MAR,STATE,41,7,TOTAL,55900000.00
2022,MAR,STATE,,7,TOTAL,733200000.00
2022,MAR,STATE,42,7,TOTAL,771200000.00
2022,MAR,STATE,45,7,TOTAL,77600000.00
2022,MAR,STATE,46,7,TOTAL,51100000.00
2022,MAR,STATE,48,7,TOTAL,568700000.00
2022,MAR,STATE,49,7,TOTAL,168100000.00
2022,MAR,STATE,51,7,TOTAL,59600000.00
2022,MAR,STATE,53,7,TOTAL,172700000.00
2022,MAR,STATE,55,7,TOTAL,151300000.00
2022,MARKETING YEAR,STATE,1,7,TOTAL,2611100000.00
2022,MARKETING YEAR,STATE,5,7,TOTAL,4151100000.00
2022,MARKETING YEAR,STATE,6,7,TOTAL,3822600000.00
2022,MARKETING YEAR,STATE,8,7,TOTAL,1046100000.00
2022,MARKETING YEAR,STATE,13,7,TOTAL,5202500000.00
2022,MARKETING YEAR,STATE,17,7,TOTAL,1860200000.00
2022,MARKETING YEAR,STATE,18,7,TOTAL,10799000000.00
2022,MARKETING YEAR,STATE,19,7,TOTAL,12197600000.00
2022,MARKETING YEAR,STATE,21,7,TOTAL,1477300000.00
2022,MARKETING YEAR,STATE,22,7,TOTAL,501500000.00
2022,MARKETING YEAR,STATE,24,7,TOTAL,599100000.00
2022,MARKETING YEAR,STATE,25,7,TOTAL,47300000.00
2022,MARKETING YEAR,STATE,26,7,TOTAL,5062200000.00
2022,MARKETING YEAR,STATE,27,7,TOTAL,2626900000.00
2022,MARKETING YEAR,STATE,28,7,TOTAL,1451300000.00
2022,MARKETING YEAR,STATE,29,7,TOTAL,4103000000.00
2022,MARKETING YEAR,STATE,30,7,TOTAL,389000000.00
2022,MARKETING YEAR,STATE,31,7,TOTAL,1990000000.00
2022,MARKETING YEAR,STATE,36,7,TOTAL,1768400000.00
2022,MARKETING YEAR,STATE,37,7,TOTAL,4066500000.00
2022,MARKETING YEAR,STATE,39,7,TOTAL,11773400000.00
2022,MARKETING YEAR,STATE,40,7,TOTAL,570600000.00
2022,MARKETING YEAR,STATE,41,7,TOTAL,628000000.00
2022,MARKETING YEAR,STATE,,7,TOTAL,7150300000.00
2022,MARKETING YEAR,STATE,42,7,TOTAL,8339900000.00
2022,MARKETING YEAR,STATE,45,7,TOTAL,990900000.00
2022,MARKETING YEAR,STATE,46,7,TOTAL,592500000.00
2022,MARKETING YEAR,STATE,47,7,TOTAL,366000000.00
2022,MARKETING YEAR,STATE,48,7,TOTAL,6621800000.00
2022,MARKETING YEAR,STATE,49,7,TOTAL,1752600000.00
2022,MARKETING YEAR,STATE,50,7,TOTAL,55500000.00
2022,MARKETING YEAR,STATE,51,7,TOTAL,743000000.00
2022,MARKETING YEAR,STATE,53,7,TOTAL,2052600000.00
2022,MARKETING YEAR,STATE,54,7,TOTAL,306300000.00
2022,MARKETING YEAR,STATE,55,7,TOTAL,1798000000.00
2022,MAY,STATE,1,7,TOTAL,231700000.00
2022,MAY,STATE,5,7,TOTAL,348800000.00
2022,MAY,STATE,6,7,TOTAL,317400000.00
2022,MAY,STATE,8,7,TOTAL,110900000.00
2022,MAY,STATE,13,7,TOTAL,450100000.00
2022,MAY,STATE,17,7,TOTAL,162300000.00
2022,MAY,STATE,18,7,TOTAL,931800000.00
2022,MAY,STATE,19,7,TOTAL,885300000.00
2022,MAY,STATE,21,7,TOTAL,120900000.00
2022,MAY,STATE,24,7,TOTAL,36400000.00
2022,MAY,STATE,26,7,TOTAL,433900000.00
2022,MAY,STATE,27,7,TOTAL,222700000.00
2022,MAY,STATE,28,7,TOTAL,124200000.00
2022,MAY,STATE,29,7,TOTAL,347000000.00
2022,MAY,STATE,31,7,TOTAL,128800000.00
2022,MAY,STATE,36,7,TOTAL,152300000.00
2022,MAY,STATE,37,7,TOTAL,346400000.00
2022,MAY,STATE,39,7,TOTAL,994400000.00
2022,MAY,STATE,40,7,TOTAL,47200000.00
2022,MAY,STATE,41,7,TOTAL,53900000.00
2022,MAY,STATE,,7,TOTAL,735200000.00
2022,MAY,STATE,42,7,TOTAL,636400000.00
2022,MAY,STATE,45,7,TOTAL,86000000.00
2022,MAY,STATE,46,7,TOTAL,51800000.00
2022,MAY,STATE,48,7,TOTAL,560800000.00
2022,MAY,STATE,49,7,TOTAL,135900000.00
2022,MAY,STATE,51,7,TOTAL,67100000.00
2022,MAY,STATE,53,7,TOTAL,175000000.00
2022,MAY,STATE,55,7,TOTAL,132900000.00
2022,NOV,STATE,1,7,TOTAL,210700000.00
2022,NOV,STATE,5,7,TOTAL,326100000.00
2022,NOV,STATE,6,7,TOTAL,307100000.00
2022,NOV,STATE,8,7,TOTAL,49100000.00
2022,NOV,STATE,13,7,TOTAL,432800000.00
2022,NOV,STATE,17,7,TOTAL,156600000.00
2022,NOV,STATE,18,7,TOTAL,904900000.00
2022,NOV,STATE,19,7,TOTAL,1018400000.00
2022,NOV,STATE,21,7,TOTAL,121700000.00
2022,NOV,STATE,24,7,TOTAL,58500000.00
2022,NOV,STATE,26,7,TOTAL,417800000.00
2022,NOV,STATE,27,7,TOTAL,213900000.00
2022,NOV,STATE,28,7,TOTAL,123200000.00
2022,NOV,STATE,29,7,TOTAL,348800000.00
2022,NOV,STATE,31,7,TOTAL,164600000.00
2022,NOV,STATE,36,7,TOTAL,146900000.00
2022,NOV,STATE,37,7,TOTAL,327300000.00
2022,NOV,STATE,39,7,TOTAL,923200000.00
2022,NOV,STATE,40,7,TOTAL,46500000.00
2022,NOV,STATE,41,7,TOTAL,49800000.00
2022,NOV,STATE,,7,TOTAL,747100000.00
2022,NOV,STATE,42,7,TOTAL,657700000.00
2022,NOV,STATE,45,7,TOTAL,81500000.00
2022,NOV,STATE,46,7,TOTAL,47200000.00
2022,NOV,STATE,48,7,TOTAL,550500000.00
2022,NOV,STATE,49,7,TOTAL,145300000.00
2022,NOV,STATE,51,7,TOTAL,59600000.00
2022,NOV,STATE,53,7,TOTAL,166700000.00
2022,NOV,STATE,55,7,TOTAL,143700000.00
2022,OCT,STATE,1,7,TOTAL,222600000.00
2022,OCT,STATE,5,7,TOTAL,334500000.00
2022,OCT,STATE,6,7,TOTAL,321200000.00
2022,OCT,STATE,8,7,TOTAL,41100000.00
2022,OCT,STATE,13,7,TOTAL,443200000.00
2022,OCT,STATE,17,7,TOTAL,158700000.00
2022,OCT,STATE,18,7,TOTAL,933900000.00
2022,OCT,STATE,19,7,TOTAL,1038700000.00
2022,OCT,STATE,21,7,TOTAL,122600000.00
2022,OCT,STATE,24,7,TOTAL,60200000.00
2022,OCT,STATE,26,7,TOTAL,429800000.00
2022,OCT,STATE,27,7,TOTAL,221800000.00
2022,OCT,STATE,28,7,TOTAL,124100000.00
2022,OCT,STATE,29,7,TOTAL,362500000.00
2022,OCT,STATE,31,7,TOTAL,161600000.00
2022,OCT,STATE,36,7,TOTAL,149300000.00
2022,OCT,STATE,37,7,TOTAL,339100000.00
2022,OCT,STATE,39,7,TOTAL,1014300000.00
2022,OCT,STATE,40,7,TOTAL,48000000.00
2022,OCT,STATE,41,7,TOTAL,51200000.00
2022,OCT,STATE,,7,TOTAL,759400000.00
2022,OCT,STATE,42,7,TOTAL,672300000.00
2022,OCT,STATE,45,7,TOTAL,83000000.00
2022,OCT,STATE,46,7,TOTAL,50800000.00
2022,OCT,STATE,48,7,TOTAL,552900000.00
2022,OCT,STATE,49,7,TOTAL,143500000.00
2022,OCT,STATE,51,7,TOTAL,62000000.00
2022,OCT,STATE,53,7,TOTAL,173800000.00
2022,OCT,STATE,55,7,TOTAL,148400000.00
2022,SEP,STATE,1,7,TOTAL,219500000.00
2022,SEP,STATE,5,7,TOTAL,321000000.00
2022,SEP,STATE,6,7,TOTAL,321100000.00
2022,SEP,STATE,8,7,TOTAL,45600000.00
2022,SEP,STATE,13,7,TOTAL,423200000.00
2022,SEP,STATE,17,7,TOTAL,152500000.00
2022,SEP,STATE,18,7,TOTAL,899500000.00
2022,SEP,STATE,19,7,TOTAL,977500000.00
2022,SEP,STATE,21,7,TOTAL,116300000.00
2022,SEP,STATE,24,7,TOTAL,55200000.00
