Order_ID,Customer_ID,Product_ID,Order_Date,Order_Time,Delivery_Date,Quantity,Unit_Price,Order_Value,Shipping_Cost,Coupon_Code,Coupon_Discount,Total_Amount,Payment_Mode,Order_Status,Rating,Review_Text,City,State,Customer_Age,Customer_Age_Group
ORD0000000069,CUST00033303,PROD000119,10/2/2024,17:37:00,10/8/2024,1,44050.5,44050.5,0,,0,44050.5,COD,Delivered,,,Jodhpur,Rajasthan,63,56-65
ORD0000000070,CUST00006996,PROD000529,4/24/2026,16:15:00,4/28/2026,1,7703.56,7703.56,0,,0,7703.56,UPI,Delivered,5,Amazing quality!,Durgapur,West Bengal,30,26-35
ORD0000000071,CUST00012044,PROD001552,1/9/2026,9:19:00,1/11/2026,1,4238.68,4238.68,0,,0,4238.68,Debit Card,Delivered,4,Nice quality,Dwarka,Delhi,43,36-45
ORD0000000072,CUST00033715,PROD000500,10/12/2024,15:15:00,10/17/2024,1,2543.44,2543.44,0,SAVE10,254.34,2289.1,Debit Card,Delivered,5,Excellent product!,Varanasi,UP,34,26-35
ORD0000000073,CUST00020345,PROD000317,12/22/2024,3:24:00,12/29/2024,1,51352.73,51352.73,0,,0,51352.73,COD,Delivered,5,Amazing quality!,Varanasi,UP,34,26-35
ORD0000000074,CUST00032054,PROD000530,11/23/2024,7:12:00,11/28/2024,1,38106.57,38106.57,0,,0,38106.57,COD,Delivered,,,Faridabad,Haryana,27,26-35
ORD0000000075,CUST00008912,PROD001264,11/24/2024,3:05:00,11/27/2024,1,101981.38,101981.38,0,,0,101981.38,COD,Shipped,,,Durgapur,West Bengal,22,18-25
ORD0000000076,CUST00024078,PROD001485,6/27/2024,21:46:00,6/30/2024,1,10965.89,10965.89,0,SAVE10,1096.59,9869.3,Debit Card,Delivered,5,Highly recommended!,Jaipur,Rajasthan,75,65+
ORD0000000077,CUST00003372,PROD001265,10/28/2024,23:11:00,10/30/2024,1,14227.45,14227.45,0,,0,14227.45,UPI,Delivered,,,Thane,Maharashtra,20,18-25
ORD0000000078,CUST00011408,PROD001502,4/15/2026,15:45:00,4/20/2026,1,47.57,47.57,65.52,,0,113.09,UPI,Delivered,5,Amazing quality!,Noida,UP,51,46-55
ORD0000000079,CUST00001261,PROD000865,12/31/2024,4:28:00,1/7/2025,1,15138.78,15138.78,0,,0,15138.78,COD,Delivered,,,Jodhpur,Rajasthan,33,26-35
ORD0000000080,CUST00032378,PROD001578,5/13/2026,23:13:00,5/17/2026,2,5214.67,10429.34,0,,0,10429.34,UPI,Delivered,4,Nice quality,Nagpur,Maharashtra,23,18-25
ORD0000000081,CUST00016492,PROD001368,12/11/2024,3:35:00,12/14/2024,1,55091.1,55091.1,0,,0,55091.1,UPI,Delivered,,,Sohna,Haryana,29,26-35
ORD0000000082,CUST00037413,PROD001438,1/27/2025,23:30:00,1/29/2025,1,25192.56,25192.56,0,,0,25192.56,COD,Delivered,4,Nice quality,Varanasi,UP,33,26-35
ORD0000000083,CUST00039496,PROD001585,6/4/2025,8:50:00,6/10/2025,1,10134.84,10134.84,0,,0,10134.84,UPI,Delivered,4,Good product,Sohna,Haryana,30,26-35
ORD0000000084,CUST00028795,PROD000088,7/25/2025,8:52:00,7/29/2025,1,2026.84,2026.84,0,,0,2026.84,COD,Delivered,3,Could be better,Patiala,Punjab,60,56-65
ORD0000000085,CUST00028689,PROD001595,6/27/2025,12:47:00,6/30/2025,1,1360.31,1360.31,0,,0,1360.31,UPI,Delivered,,,Madurai,Tamil Nadu,51,46-55
ORD0000000086,CUST00019089,PROD001393,10/14/2024,2:38:00,10/20/2024,1,652.93,652.93,0,SAVE10,65.29,587.64,COD,Delivered,,,Varanasi,UP,22,18-25
ORD0000000087,CUST00031534,PROD000181,12/25/2024,10:24:00,12/27/2024,1,7430.74,7430.74,0,,0,7430.74,UPI,Returned,,,Agra,UP,22,18-25
ORD0000000088,CUST00008617,PROD000286,5/8/2025,4:26:00,5/14/2025,1,3350.57,3350.57,0,,0,3350.57,COD,Delivered,4,Value for money,Agra,UP,22,18-25
ORD0000000089,CUST00035297,PROD001938,3/14/2025,21:55:00,3/21/2025,1,10585.72,10585.72,0,,0,10585.72,UPI,Delivered,5,Amazing quality!,Gurugram,Haryana,57,56-65
ORD0000000090,CUST00022052,PROD000679,7/3/2025,20:53:00,7/9/2025,1,36241.7,36241.7,0,,0,36241.7,UPI,Delivered,,,Jaipur,Rajasthan,51,46-55
ORD0000000091,CUST00007248,PROD001326,5/5/2025,11:04:00,5/8/2025,1,1003.26,1003.26,0,,0,1003.26,COD,Delivered,5,Highly recommended!,Chennai,Tamil Nadu,53,46-55
ORD0000000092,CUST00015887,PROD001979,8/24/2025,13:26:00,8/26/2025,2,2576.42,5152.84,0,,0,5152.84,UPI,Delivered,5,Amazing quality!,Jalandhar,Punjab,65,56-65
ORD0000000093,CUST00017884,PROD001909,10/31/2025,3:08:00,11/7/2025,1,946.9,946.9,0,,0,946.9,UPI,Delivered,,,Kota,Rajasthan,53,46-55
ORD0000000094,CUST00022629,PROD001545,12/20/2025,20:09:00,12/25/2025,1,73602.19,73602.19,0,,0,73602.19,COD,Shipped,,,Lucknow,UP,21,18-25
ORD0000000095,CUST00004660,PROD001600,4/8/2026,16:20:00,4/11/2026,1,16814.21,16814.21,0,,0,16814.21,UPI,Returned,,,Sohna,Haryana,35,26-35
ORD0000000096,CUST00038032,PROD001993,12/20/2024,21:26:00,12/25/2024,1,1673.61,1673.61,0,,0,1673.61,COD,Delivered,,,Jaipur,Rajasthan,38,36-45
ORD0000000097,CUST00016842,PROD000954,5/23/2025,16:26:00,5/26/2025,1,3435.21,3435.21,0,,0,3435.21,UPI,Delivered,,,Bangalore,Karnataka,30,26-35
ORD0000000098,CUST00005125,PROD001437,1/7/2025,6:47:00,1/13/2025,1,69021.17,69021.17,0,,0,69021.17,UPI,Delivered,,,Dwarka,Delhi,19,18-25
ORD0000000099,CUST00004137,PROD001579,12/27/2025,12:33:00,1/2/2026,1,8354.44,8354.44,0,SAVE10,835.44,7519,UPI,Delivered,4,Nice quality,Noida,UP,25,18-25
